"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Mouser Part Number"
"C1,C2","2","470uF","","","","667-EEU-FR1V471"
"C3,C4","2","100uF","","","","667-EEU-FR1J101"
"D1","1","BZW04-5V8","","","","511-BZW04-5V8"
"D2","1","P6KE18A-TP","","","","833-P6KE18A-TP"
"D3","1","P6KE18CA","","","","511-P6KE18CA"
"D4","1","P6KE8.2A-TP","","","","833-P6KE8.2A-TP"
"D5,D6,D7,D8","4","LED","","","","593-VAOL-3MSBY2,859-LTL-1CHG,859-LTL-4211N,859-LTL-4251N"
"F1","1","Fuse","","","","576-01020071Z"
"FB1,FB2,FB3,FB4","4","FerriteBead","","","","875-28C0236-0JW-10"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","",""
"J1","1","Screw_Terminal_01x02","","","","845-30.602"
"J2","1","Screw_Terminal_01x05","","","","179-TB0010-500-05GR"
"J3","1","Conn_01x12_Pin","","","",""
"J4","1","Conn_01x04_Pin","","","",""
"PS1","1","RAC20-07SK","","","","919-RAC20-07SK"
"PS2","1","RAC20-05SK","","","","919-RAC20-05SK"
"PS3","1","RAC20-15DK","","","","919-RAC20-15DK"
"R1","1","5000","","","",""
"R2","1","150","","","",""
"R3,R4","2","600","","","",""
